PlayerId,Name,Gender,Country,Rank,CareerTitles,CareerPrizeMoney
ATPBD06,Roberto Bautista Agut,Male,Spain,51,12,18804089
ATPBG23,Nikoloz Basilashvili,Male,Georgia,210,5,8809902
ATPBK40,Matteo Berrettini,Male,Italy,35,10,12492144
ATPBK92,Alexander Bublik,Male,Kazakhstan,33,4,7634978
ATPCD85,Pablo Carreno Busta,Male,Spain,184,7,15874019
ATPCF59,Roberto Carballes Baena,Male,Spain,59,2,5317867
ATPCG80,Borna Coric,Male,Croatia,88,3,12714415
ATPD643,Novak Djokovic,Male,Serbia,7,99,185541164
ATPD875,Grigor Dimitrov,Male,Bulgaria,10,9,29075508
ATPD923,Damir Dzumhur,Male,Bosnia and Herzegovina,83,3,5191476
ATPDA81,Taro Daniel,Male,Japan,84,1,4547839
ATPF510,Fabio Fognini,Male,Italy,89,9,18839820
ATPFB98,Taylor Fritz,Male,United States of America,4,8,23346252
ATPGB88,David Goffin,Male,Belgium,53,6,17997945
ATPH997,Yannick Hanfmann,Male,Germany,98,0,3231157
ATPHB64,Quentin Halys,Male,France,71,0,3287817
ATPJ551,Nicolas Jarry,Male,Chile,34,3,6621179
ATPKE17,Nick Kyrgios,Male,Australia,1271,7,12494766
ATPKE29,Karen Khachanov,Male,,19,7,18239247
ATPL987,Dusan Lajovic,Male,Serbia,75,2,9735759
ATPMC65,Gael Monfils,Male,France,52,12,23295060
ATPME82,Adrian Mannarino,Male,France,73,5,13056025
ATPMJ08,Thiago Monteiro,Male,Brazil,106,0,3957219
ATPMM58,Daniil Medvedev,Male,,5,20,45126978
ATPN552,Kei Nishikori,Male,Japan,74,12,25710357
ATPN732,Yoshihito Nishioka,Male,Japan,63,3,6551286
ATPN771,Cameron Norrie,Male,United Kingdom,48,5,11472429
ATPPF39,Lucas Pouille,Male,France,104,5,8693598
ATPRE44,Andrey Rublev,Male,,9,16,27465506
ATPRH16,Casper Ruud,Male,Norway,6,12,22682369
ATPSL28,Jan-Lennard Struff,Male,Germany,42,1,10971031
ATPSU55,Denis Shapovalov,Male,Canada,58,2,12235848
ATPTC61,Jordan Thompson,Male,Australia,27,1,8043810
ATPTD51,Frances Tiafoe,Male,United States of America,17,3,13352004
ATPTE51,Stefanos Tsitsipas,Male,Greece,11,11,33254721
ATPW367,Stan Wawrinka,Male,Switzerland,158,16,37287773
ATPZ355,Alexander Zverev,Male,Germany,2,23,50548001
ATPAE14,Daniel Altmaier,Male,Germany,93,0,3313814
ATPAG37,Felix Auger-Aliassime,Male,Canada,29,5,14201813
ATPB0BI,Sebastian Baez,Male,Argentina,28,6,4378610
ATPB0CD,Jenson Brooksby,Male,United States of America,466,0,2035768
ATPBM95,Benjamin Bonzi,Male,France,70,1,2942196
ATPBT72,Nuno Borges,Male,Portugal,36,1,2615540
ATPBU13,Zizou Bergs,Male,Belgium,66,0,1488714
ATPC0AU,Francisco Cerundolo,Male,Argentina,31,3,5934344
ATPC0DF,Francisco Comesana,Male,Argentina,85,0,788573
ATPCE77,Federico Coria,Male,Argentina,97,0,3095362
ATPD0CG,Facundo Diaz Acosta,Male,Argentina,78,1,1195646
ATPD994,James Duckworth,Male,Australia,94,0,4062086
ATPDF88,Aziz Dougaz,Male,Tunisia,230,0,405993
ATPDH50,Alejandro Davidovich Fokina,Male,Spain,68,0,7069266
ATPDH58,Alex de Minaur,Male,Australia,8,9,16027324
ATPEA24,Tomas Martin Etcheverry,Male,Argentina,39,0,3943784
ATPG09O,Hugo Gaston,Male,France,81,0,2788389
ATPGC88,Marcos Giron,Male,United States of America,45,1,4897652
ATPGD64,Cristian Garin,Male,Chile,151,5,6008297
ATPGJ37,Tallon Griekspoor,Male,Netherlands,40,2,4985647
ATPHB71,Hubert Hurkacz,Male,Poland,18,8,17257225
ATPHF80,Hady Habib,Male,Lebanon,219,0,154619
ATPHH26,Ugo Humbert,Male,France,14,6,8511084
ATPJ553,Omar Jasika,Male,Australia,180,0,504317
ATPK09F,Pavel Kotov,Male,,99,0,1869571
ATPK0AH,Sebastian Korda,Male,United States of America,22,2,6806513
ATPKC12,Mitchell Krueger,Male,United States of America,148,0,1500356
ATPKD46,Thanasi Kokkinakis,Male,Australia,77,1,4455609
ATPKE73,Dominik Koepfer,Male,Germany,123,0,3533466
ATPKI63,Lukas Klein,Male,Slovakia,145,0,834119
ATPKI95,Miomir Kecmanovic,Male,Serbia,55,1,6593911
ATPM0CI,Fabian Marozsan,Male,Hungary,57,0,2259273
ATPMO44,Pedro Martinez,Male,Spain,43,1,4316563
ATPMP20,Alexandre Muller,Male,France,56,1,2355473
ATPMQ75,Kamil Majchrzak,Male,Poland,117,0,2096298
ATPMU94,Jaume Munar,Male,Spain,61,0,4752444
ATPMW02,Corentin Moutet,Male,France,69,0,3985093
ATPN897,Sumit Nagal,Male,India,96,0,1415992
ATPO483,Christopher O'Connell,Male,Australia,64,0,3087142
ATPO522,Reilly Opelka,Male,United States of America,171,4,4518925
ATPP09Z,Alexei Popyrin,Male,Australia,25,3,6759943
ATPPL56,Tommy Paul,Male,United States of America,12,4,10055634
ATPRC91,Arthur Rinderknech,Male,France,60,0,3657240
ATPSU87,Lorenzo Sonego,Male,Italy,54,4,6912686
ATPSX50,Roman Safiullin,Male,,62,0,3243994
ATPSX91,Thiago Seyboth Wild,Male,Brazil,76,1,1883548
ATPTE30,Alejandro Tabilo,Male,Chile,23,2,3377294
ATPU182,Camilo Ugo Carabelli,Male,Argentina,95,0,830480
ATPV812,Botic van de Zandschulp,Male,Netherlands,82,0,4806028
ATPV832,Aleksandar Vukic,Male,Australia,67,0,2353321
ATPZ371,Zhizhen Zhang,Male,China,47,0,3566122
ATPM0FH,Tomas Machac,Male,Czech Republic,26,0,3511124
ATPD0CO,Jack Draper,Male,United Kingdom,15,2,4900776
ATPB0EJ,Tristan Boyer,Male,United States of America,134,0,251141
ATPM0EJ,Lorenzo Musetti,Male,Italy,16,2,7706220
ATPH0BH,Rinky Hijikata,Male,Australia,79,0,2374204
ATPV0AM,Otto Virtanen,Male,Finland,92,0,876096
ATPA0E2,Carlos Alcaraz,Male,Spain,3,16,37854976
ATPF0BY,Jacob Fearnley,Male,United Kingdom,86,0,323597
ATPN0AE,Brandon Nakashima,Male,United States of America,37,1,4611229
ATPN0BG,Luca Nardi,Male,Italy,90,0,1277272
ATPS0AG,Jannik Sinner,Male,Italy,1,18,37238688
ATPS0H2,Alexander Shevchenko,Male,Kazakhstan,72,0,2125915
ATPA0FC,Matteo Arnaldi,Male,Italy,38,0,3136267
ATPL0BV,Jiri Lehecka,Male,Czech Republic,24,2,4498741
ATPR0DG,Holger Rune,Male,Denmark,13,4,11526402
ATPD0F6,Gabriel Diallo,Male,Canada,87,0,891173
ATPC0E9,Flavio Cobolli,Male,Italy,32,0,2541521
ATPM0GZ,Giovanni Mpetshi Perricard,Male,France,30,2,1736814
ATPN0BS,Mariano Navone,Male,Argentina,46,0,1279827
ATPO0A2,Gauthier Onclin,Male,Belgium,236,0,263524
ATPS0HR,Kasidit Samrej,Male,Thailand,414,0,60274
ATPW09E,Adam Walton,Male,Australia,91,0,764322
ATPD0FJ,Luciano Darderi,Male,Italy,44,1,1415513
ATPG0GD,Matteo Gigante,Male,Italy,146,0,418773
ATPC0H0,Arthur Cazaux,Male,France,80,0,1370911
ATPS0N0,Tristan Schoolkate,Male,Australia,173,0,525052
ATPS0LA,Dominic Stricker,Male,Switzerland,298,0,1710257
ATPY09V,Yunchaokete Bu,Male,China,65,0,702196
ATPF0F1,Arthur Fils,Male,France,20,3,4448696
ATPTC01,Li Tu,Male,Australia,179,0,575296
ATPS0S1,Ben Shelton,Male,United States of America,21,2,5497682
ATPF0F2,Jaime Faria,Male,Portugal,124,0,215092
ATPS0RE,Juncheng Shang,Male,China,50,1,1779146
ATPM0OQ,James McCabe,Male,Australia,258,0,294922
ATPF0FV,Joao Fonseca,Male,Brazil,113,0,847106
ATPM0NI,Jakub Mensik,Male,Czech Republic,49,0,1581334
ATPB0NN,Nishesh Basavareddy,Male,United States of America,133,0,330517
ATPM0QI,Alex Michelsen,Male,United States of America,41,0,2051282
ATPT0HA,Learner Tien,Male,United States of America,120,0,729484
ATPL0IL,Martin Landaluce,Male,Spain,143,0,226907
WTA310440,Tatjana Maria,Female,Germany,89,3,5760576
WTA310926,Laura Siegemund,Female,Germany,79,2,6374932
WTA311779,Shuai Zhang,Female,China,205,3,10840259
WTA312469,Sorana Cirstea,Female,Romania,72,2,9721830
WTA313169,Irina-Camelia Begu,Female,Romania,83,5,8295788
WTA313711,Petra Martic,Female,Croatia,132,2,8880672
WTA313796,Anastasia Pavlyuchenkova,Female,,28,12,14458539
WTA315130,Magda Linette,Female,Poland,38,3,6963024
WTA315391,Caroline Garcia,Female,France,58,11,18283326
WTA315683,Sloane Stephens,Female,United States of America,84,8,18869940
WTA315997,Daria Saville,Female,Australia,112,1,5821241
WTA316286,Saisai Zheng,Female,China,688,1,4437178
WTA316296,Viktorija Golubic,Female,Switzerland,90,2,4171483
WTA316738,Elina Svitolina,Female,Ukraine,29,17,24309612
WTA316847,Ons Jabeur,Female,Tunisia,40,5,13472279
WTA316959,Madison Keys,Female,United States of America,20,8,18854583
WTA317584,Viktoriya Tomova,Female,Bulgaria,56,0,2608158
WTA317683,Yulia Putintseva,Female,Kazakhstan,25,3,8349971
WTA317684,Danka Kovinic,Female,Montenegro,1293,0,3112371
WTA317708,Bernarda Pera,Female,United States of America,70,2,4473919
WTA317964,Elise Mertens,Female,Belgium,34,8,15580371
WTA318176,Beatriz Haddad Maia,Female,Brazil,16,4,7581332
WTA318312,Maria Sakkari,Female,Greece,32,2,12569218
WTA318516,Donna Vekic,Female,Croatia,19,4,8870111
WTA318609,Taylor Townsend,Female,United States of America,71,0,5384509
WTA319007,Ekaterina Alexandrova,Female,,27,4,7000663
WTA319112,Nadia Podoroska,Female,Argentina,95,0,2873862
WTA319280,Jasmine Paolini,Female,Italy,4,2,8796787
WTA319526,Veronika Kudermetova,Female,,77,2,7851628
WTA319939,Jelena Ostapenko,Female,Latvia,17,8,16286419
WTA319998,Naomi Osaka,Female,Japan,50,7,22068647
WTA320238,Nao Hibino,Female,Japan,143,3,3400470
WTA320301,Katerina Siniakova,Female,Czech Republic,46,5,12629881
WTA320760,Aryna Sabalenka,Female,,1,18,30299298
WTA320942,Sofia Kenin,Female,United States of America,81,5,10203235
WTA320945,Jana Fett,Female,Croatia,134,0,1035451
WTA322052,Caroline Dolehide,Female,United States of America,82,0,4342384
WTA322082,Daria Kasatkina,Female,,9,8,12720991
WTA323027,Marketa Vondrousova,Female,Czech Republic,39,2,10438436
WTA323942,Anna Kalinskaya,Female,,14,0,4278625
WTA324267,Anna Blinkova,Female,,75,1,3787671
WTA315232,Ajla Tomljanovic,Female,Australia,116,0,6497509
WTA312001,Victoria Azarenka,Female,,22,21,38081537
WTA313349,Arantxa Rus,Female,Netherlands,74,1,4045745
WTA314359,Nuria Parrizas Diaz,Female,Spain,104,0,1876808
WTA316925,Danielle Collins,Female,United States of America,11,4,9056941
WTA316956,Jessica Pegula,Female,United States of America,7,6,16570051
WTA317510,Yafan Wang,Female,China,64,1,3360113
WTA318711,Mayar Sherif,Female,Egypt,65,1,2367586
WTA318839,Chloe Paquet,Female,France,123,0,1697100
WTA319001,Belinda Bencic,Female,Switzerland,421,8,12417970
WTA319125,Katie Boulter,Female,United Kingdom,23,3,3112382
WTA320124,Paula Badosa,Female,Spain,12,4,7880509
WTA320228,Rebecca Sramkova,Female,Slovakia,49,1,1230241
WTA320277,Magdalena Frech,Female,Poland,24,1,2958216
WTA320316,Julia Grabher,Female,Austria,413,0,1022872
WTA320319,Jaqueline Cristian,Female,Romania,85,0,1758428
WTA320408,Elena-Gabriela Ruse,Female,Romania,125,1,2168278
WTA320567,Anhelina Kalinina,Female,Ukraine,48,0,3951497
WTA320716,Renata Zarazua,Female,Mexico,76,0,1179719
WTA320728,Kimberly Birrell,Female,Australia,99,0,1363434
WTA320983,Marie Bouzkova,Female,Czech Republic,42,1,5310958
WTA321158,Cristina Bucsa,Female,Spain,101,0,2619866
WTA321454,Greet Minnen,Female,Belgium,94,0,2772283
WTA322191,Karolina Muchova,Female,Czech Republic,21,1,8660088
WTA322222,Liudmila Samsonova,Female,,26,5,5859747
WTA322280,Lucia Bronzetti,Female,Italy,78,1,2283723
WTA322638,Maria Lourdes Carle,Female,Argentina,96,0,820571
WTA322942,Anna Bondar,Female,Hungary,97,0,1904350
WTA323079,Tamara Zidansek,Female,Slovenia,180,1,3317401
WTA323802,Jodie Burrage,Female,United Kingdom,173,0,939119
WTA324166,Elena Rybakina,Female,Kazakhstan,6,8,16156340
WTA324219,Destanee Aiava,Female,Australia,195,0,887012
WTA324261,Dayana Yastremska,Female,Ukraine,33,3,4734515
WTA324325,Yue Yuan,Female,China,51,1,1905729
WTA324576,Lulu Sun,Female,New Zealand,43,0,957434
WTA324898,Suzan Lamens,Female,Netherlands,80,1,469181
WTA324934,Olga Danilovic,Female,Serbia,53,2,1717179
WTA325338,Yuliia Starodubtseva,Female,Ukraine,100,0,705117
WTA325410,Emma Navarro,Female,United States of America,8,1,3540674
WTA325601,Anastasia Potapova,Female,,35,2,4308034
WTA325639,Maja Chwalinska,Female,Poland,126,0,487814
WTA325725,Caty McNally,Female,United States of America,540,0,2141746
WTA325836,Varvara Gracheva,Female,France,69,0,3225912
WTA325898,Camila Osorio,Female,Colombia,61,2,2349743
WTA325940,Jule Niemeier,Female,Germany,92,0,2056418
WTA326096,Ann Li,Female,United States of America,91,1,1935015
WTA326160,Xiyu Wang,Female,China,108,1,2384309
WTA326376,Xinyu Wang,Female,China,37,0,3572804
WTA326384,Amanda Anisimova,Female,United States of America,36,2,5121924
WTA326408,Iga Swiatek,Female,Poland,2,23,33742891
WTA326482,Marta Kostyuk,Female,Ukraine,18,1,5009797
WTA326678,McCartney Kessler,Female,United States of America,67,1,600412
WTA326735,Leylah Fernandez,Female,Canada,31,3,5759598
WTA326907,Zeynep Sonmez,Female,Turkey,93,1,487275
WTA327077,Diane Parry,Female,France,66,0,2435857
WTA327241,Moyuka Uchijima,Female,Japan,63,0,1085209
WTA327655,Veronika Erjavec,Female,Slovenia,171,0,272290
WTA327793,Clara Tauson,Female,Denmark,41,3,2334249
WTA327909,Elisabetta Cocciaretto,Female,Italy,55,1,2372851
WTA327573,Peyton Stearns,Female,United States of America,47,1,2006650
WTA326653,Olivia Gadecki,Female,Australia,106,0,1057036
WTA325936,Kamilla Rakhimova,Female,,62,0,2026279
WTA313485,Rebecca Marino,Female,Canada,98,0,2111255
WTA327101,Hailey Baptiste,Female,United States of America,88,0,1373628
WTA328120,Qinwen Zheng,Female,China,5,5,8311577
WTA328366,Emma Raducanu,Female,United Kingdom,60,1,4447852
WTA328560,Coco Gauff,Female,United States of America,3,9,22488989
WTA327391,Katie Volynets,Female,United States of America,59,0,1806698
WTA327845,Daria Snigur,Female,Ukraine,139,0,812485
WTA328426,Sijia Wei,Female,China,119,0,328228
WTA320313,Leolia Jeanjean,Female,France,149,0,911138
WTA329409,Ashlyn Krueger,Female,United States of America,54,1,1672493
WTA327287,Julia Riera,Female,Argentina,147,0,492796
WTA327620,Elina Avanesyan,Female,Armenia,44,0,1790299
WTA329918,Sonay Kartal,Female,United Kingdom,87,1,543547
WTA328897,Polina Kudermetova,Female,,57,0,552484
WTA329668,Linda Noskova,Female,Czech Republic,30,1,2310654
WTA328139,Jessica Bouzas Maneiro,Female,Spain,52,0,1026086
WTA330151,Erika Andreeva,Female,,86,0,1047373
WTA329393,Talia Gibson,Female,Australia,150,0,409075
WTA330375,Sara Bejlek,Female,Czech Republic,156,0,666280
WTA330482,Diana Shnaider,Female,,13,4,2066671
WTA330442,Anca Todoni,Female,Romania,110,0,264486
WTA331809,Mirra Andreeva,Female,,15,1,2808807
WTA330544,Maya Joint,Female,Australia,118,0,317893
WTA332285,Iva Jovic,Female,United States of America,191,0,201300
WTA333111,Emerson Jones,Female,Australia,371,0,48737
